;annee;region;parc_nucleaire_mw;parc_thermique_fossile_mw;parc_hydraulique_mw;parc_eolien_mw;parc_solaire_mw;parc_bioenergies_mw
0;2014;Bretagne;;743.0;274.0;826.0;167.0;51.0
1;2014;Nouvelle-Aquitaine;6630.0;465.0;1765.0;483.0;1142.0;221.0
2;2016;Normandie;10640.0;1416.0;50.0;643.0;123.0;110.0
3;2016;Bretagne;;859.0;277.0;913.0;190.0;55.0
4;2016;Nouvelle-Aquitaine;6630.0;495.0;1762.0;689.0;1734.0;294.0
5;2017;Île-de-France;;2205.0;19.0;70.0;91.0;300.0
6;2017;Centre-Val de Loire;11630.0;256.0;92.0;1017.0;238.0;76.0
7;2017;Normandie;10640.0;1432.0;50.0;726.0;131.0;114.0
8;2017;Grand Est;12580.0;3073.0;2305.0;3100.0;469.0;199.0
9;2017;Nouvelle-Aquitaine;6630.0;534.0;1762.0;856.0;2047.0;299.0
10;2015;Provence-Alpes-Côte d'Azur;;3068.0;3222.0;50.0;869.0;120.0
11;2016;Île-de-France;;4587.0;19.0;43.0;84.0;309.0
12;2016;Bourgogne-Franche-Comté;;333.0;520.0;467.0;196.0;36.0
13;2016;Hauts-de-France;5460.0;2476.0;4.0;2771.0;129.0;168.0
14;2016;Occitanie;2620.0;250.0;5394.0;1165.0;1478.0;139.0
15;2017;Bourgogne-Franche-Comté;;372.0;522.0;640.0;241.0;39.0
16;2017;Pays de la Loire;;2696.0;9.0;822.0;463.0;71.0
17;2017;Bretagne;;904.0;277.0;974.0;205.0;65.0
18;2018;Auvergne-Rhône-Alpes;13570.0;1072.0;11628.0;553.0;942.0;181.0
19;2018;Provence-Alpes-Côte d'Azur;;3277.0;3261.0;48.0;1224.0;292.0
20;2019;Hauts-de-France;5460.0;2426.0;4.0;4558.0;164.0;186.0
21;2019;Bretagne;;975.0;275.0;1047.0;236.0;74.0
22;2019;Nouvelle-Aquitaine;6630.0;576.0;1765.0;1049.0;2583.0;325.0
23;2019;Provence-Alpes-Côte d'Azur;;3283.0;3269.0;48.0;1335.0;293.0
24;2020;Île-de-France;;2222.0;20.0;106.34;151.0;320.0
25;2020;Occitanie;2620.0;284.0;5411.0;1659.07;2160.0;148.0
26;2020;Pays de la Loire;;2103.0;11.0;1070.79;615.0;77.0
27;2021;Bourgogne-Franche-Comté;;377.0;522.0;954.0;459.0;82.0
28;2021;Normandie;10640.0;829.0;30.0;915.0;242.0;149.0
29;2014;Hauts-de-France;5460.0;2408.0;4.0;2024.0;120.0;165.0
30;2014;Pays de la Loire;;3283.0;10.0;578.0;350.0;63.0
31;2014;Provence-Alpes-Côte d'Azur;;3208.0;3226.0;47.0;766.0;131.0
32;2016;Pays de la Loire;;3315.0;9.0;733.0;413.0;67.0
33;2016;Auvergne-Rhône-Alpes;13570.0;1062.0;11592.0;443.0;703.0;172.0
34;2017;Provence-Alpes-Côte d'Azur;;3253.0;3262.0;50.0;1110.0;292.0
35;2017;Corse;;489.0;223.0;18.0;134.0;2.0
36;2018;Île-de-France;;2218.0;20.0;70.0;99.0;300.0
37;2018;Nouvelle-Aquitaine;6630.0;580.0;1763.0;955.0;2263.0;308.0
38;2019;Normandie;10640.0;1393.0;30.0;836.0;178.0;121.0
39;2019;Pays de la Loire;;2080.0;11.0;1012.0;557.0;77.0
40;2020;Bretagne;;1006.0;275.0;1064.95;253.0;76.0
41;2020;Corse;;489.0;223.0;18.0;152.0;2.0
42;2021;Centre-Val de Loire;11630.0;232.0;92.0;1419.0;653.0;88.0
43;2021;Occitanie;2620.0;291.0;5283.0;1583.0;2623.0;149.0
44;2014;Occitanie;2620.0;1613.0;5407.0;934.0;1116.0;133.0
45;2014;Corse;;489.0;211.0;18.0;102.0;2.0
46;2015;Auvergne-Rhône-Alpes;13570.0;1100.0;11570.0;402.0;647.0;165.0
47;2015;Corse;;489.0;223.0;18.0;110.0;2.0
48;2016;Centre-Val de Loire;11630.0;242.0;92.0;950.0;217.0;76.0
49;2016;Grand Est;12580.0;3050.0;2303.0;2877.0;445.0;197.0
50;2016;Provence-Alpes-Côte d'Azur;;3229.0;3225.0;50.0;945.0;292.0
51;2016;Corse;;489.0;223.0;18.0;116.0;2.0
52;2017;Hauts-de-France;5460.0;2485.0;4.0;3378.0;135.0;179.0
53;2017;Occitanie;2620.0;266.0;5387.0;1399.0;1615.0;145.0
54;2018;Normandie;10640.0;1438.0;43.0;822.0;153.0;117.0
55;2018;Occitanie;2620.0;282.0;5388.0;1526.0;1814.0;146.0
56;2019;Île-de-France;;2204.0;20.0;89.0;123.0;317.0
57;2019;Grand Est;12580.0;3168.0;2307.0;3608.0;543.0;221.0
58;2019;Occitanie;2620.0;282.0;5392.0;1630.0;2013.0;146.0
59;2020;Bourgogne-Franche-Comté;;399.0;523.0;871.99;330.0;77.0
60;2020;Hauts-de-France;5460.0;2466.0;4.0;4927.75;186.0;187.0
61;2020;Provence-Alpes-Côte d'Azur;;3313.0;3273.0;96.56;1436.0;302.0
62;2021;Auvergne-Rhône-Alpes;13570.0;1063.0;11452.0;685.0;1493.0;191.0
63;2021;Île-de-France;;2221.0;20.0;127.0;188.0;325.0
64;2014;Île-de-France;;5153.0;19.0;19.0;74.0;326.0
65;2014;Centre-Val de Loire;11630.0;219.0;92.0;844.0;170.0;75.0
66;2014;Bourgogne-Franche-Comté;;332.0;516.0;291.0;172.0;32.0
67;2014;Grand Est;12580.0;3544.0;2290.0;2353.0;424.0;154.0
68;2014;Auvergne-Rhône-Alpes;13570.0;1091.0;11564.0;376.0;583.0;145.0
69;2015;Centre-Val de Loire;11630.0;178.0;92.0;876.0;199.0;76.0
70;2015;Bourgogne-Franche-Comté;;336.0;519.0;379.0;187.0;34.0
71;2015;Normandie;10640.0;1414.0;50.0;567.0;116.0;103.0
72;2015;Hauts-de-France;5460.0;1892.0;4.0;2330.0;124.0;169.0
73;2015;Grand Est;12580.0;3048.0;2292.0;2580.0;435.0;191.0
74;2015;Pays de la Loire;;3290.0;8.0;632.0;379.0;62.0
75;2015;Bretagne;;794.0;277.0;854.0;178.0;53.0
76;2015;Nouvelle-Aquitaine;6630.0;470.0;1761.0;556.0;1594.0;282.0
77;2015;Occitanie;2620.0;1612.0;5394.0;1038.0;1279.0;137.0
78;2017;Auvergne-Rhône-Alpes;13570.0;1061.0;11608.0;500.0;776.0;172.0
79;2018;Centre-Val de Loire;11630.0;224.0;93.0;1134.0;271.0;85.0
80;2018;Bourgogne-Franche-Comté;;385.0;521.0;708.0;271.0;71.0
81;2018;Bretagne;;964.0;272.0;1014.0;219.0;67.0
82;2019;Bourgogne-Franche-Comté;;385.0;523.0;808.0;294.0;75.0
83;2019;Auvergne-Rhône-Alpes;13570.0;1059.0;11792.0;552.0;1068.0;183.0
84;2020;Auvergne-Rhône-Alpes;13570.0;1077.0;11794.0;582.52;1190.0;187.0
85;2020;Centre-Val de Loire;11630.0;250.0;92.0;1293.58;375.0;87.0
86;2020;Grand Est;10820.0;3275.0;2309.0;3887.38;597.0;241.0
87;2020;Normandie;10640.0;1423.0;30.0;858.73;189.0;127.0
88;2020;Nouvelle-Aquitaine;6630.0;626.0;1766.0;1178.47;2753.0;339.0
89;2021;Bretagne;;1413.0;275.0;1140.0;314.0;81.0
90;2021;Corse;;489.0;223.0;18.0;152.0;2.0
91;2021;Hauts-de-France;5460.0;2451.0;4.0;5260.0;343.0;181.0
92;2021;Nouvelle-Aquitaine;6630.0;576.0;2222.0;1312.0;3264.0;337.0
93;2021;Pays de la Loire;;2059.0;11.0;1165.0;755.0;81.0
